,Tweets,Happiness,Anger,Fear,Sadness,Disgust,Sentiment
856,dying increasing roads planning,0.2,0.2,0.2,0.2,0.2,Neutral
857,harvard says underscore stark cultu,0.2,0.2,0.2,0.2,0.2,Neutral
858,collaborative fewer says,0.2,0.2,0.2,0.2,0.2,Neutral
859,fighting behalf affected predatory,0.720000,1.850000,1.545000,1.380000,1.075000,Anger
860,summertime,0.2,0.2,0.2,0.2,0.2,Neutral
861,born phineas working fired accidental,0.610000,1.337500,1.805000,1.637500,0.930000,Fear
862,make smart soft hard,0.566875,0.282500,0.284375,0.265625,0.222500,Happiness
863,new shows many asteroidsized exist carry,0.2,0.2,0.2,0.2,0.2,Neutral
864,vocallearning capable sophisticated,1.710000,0.655000,0.780000,0.675000,0.630000,Happiness
865,used autonomous onboard,0.2,0.2,0.2,0.2,0.2,Neutral
866,become popular healthier sustainable,0.2,0.2,0.2,0.2,0.2,Neutral
867,cassandra extavour analyzed huge set untested,0.2,0.2,0.2,0.2,0.2,Neutral
868,used novel geneediting hearing mice genetic,0.2,0.2,0.2,0.2,0.2,Neutral
869,dancing vocallearning capable sophisticated,0.855000,0.327500,0.390000,0.337500,0.315000,Happiness
870,fewer make collaborative says,0.2,0.2,0.2,0.2,0.2,Neutral
871,exercise releases improves glucose fatty,0.880000,0.395000,0.382500,0.367500,0.350000,Happiness
872,working tackle major pedestrian,0.2,0.2,0.2,0.2,0.2,Neutral
873,m lieber updating nanowire encourage faster,0.2,0.2,0.2,0.2,0.2,Neutral
874,going visiting earths extreme really understand,0.113125,0.053125,0.060312,0.061562,0.052812,Happiness
875,say helps involved even,0.2,0.2,0.2,0.2,0.2,Neutral
876,summertime learn,0.000054,0.000026,0.000025,0.000023,0.000017,Happiness
877,bostonchildrens used novel geneediting,0.2,0.2,0.2,0.2,0.2,Neutral
878,looking harvard assigned interesting,1.590000,0.710000,0.745000,0.695000,0.650000,Happiness
879,plays entertained,0.2,0.2,0.2,0.2,0.2,Neutral
880,includes early starspangled likely printed sometime,0.2,0.2,0.2,0.2,0.2,Neutral
881,harvard signed samuel john,0.2,0.2,0.2,0.2,0.2,Neutral
882,harvard light,0.2,0.2,0.2,0.2,0.2,Neutral
883,long sparkling happy great,0.073125,0.016875,0.017344,0.018281,0.017188,Happiness
884,did know contains original,0.2,0.2,0.2,0.2,0.2,Neutral
885,did know thofjuly,0.2,0.2,0.2,0.2,0.2,Neutral
886,therapy brooks cambridge,0.2,0.2,0.2,0.2,0.2,Neutral
887,planning healthy delicious,0.2,0.2,0.2,0.2,0.2,Neutral
888,mounting antidistracted driving,0.2,0.2,0.2,0.2,0.2,Neutral
889,advancing womens final womens soccer discusses watch,0.062500,0.039062,0.044375,0.043125,0.040313,Happiness
890,lead new diabetes neurodegenerative,0.2,0.2,0.2,0.2,0.2,Neutral
891,different becoming good,0.017266,0.004570,0.004727,0.004453,0.004414,Happiness
892,understanding much possible various offer insight,0.2,0.2,0.2,0.2,0.2,Neutral
893,emily balskus named young f,0.003672,0.001673,0.001846,0.001740,0.001308,Happiness
894,american play encouraging new gross,0.2,0.2,0.2,0.2,0.2,Neutral
895,annual public frederick historic address,0.2,0.2,0.2,0.2,0.2,Neutral
896,serving iraq afghanistan graduating adrian mayor native,0.2,0.2,0.2,0.2,0.2,Neutral
897,virtually sold classified processed reviews different,0.2,0.2,0.2,0.2,0.2,Neutral
898,new looks walking gives,0.2,0.2,0.2,0.2,0.2,Neutral
899,new harvard new degree new,0.2,0.2,0.2,0.2,0.2,Neutral
900,new light back inten,0.2,0.2,0.2,0.2,0.2,Neutral
901,says youthful compelling creative,1.037500,0.430000,0.392500,0.450000,0.352500,Happiness
902,ago mit medical childrens hospital,0.720000,0.895000,1.655000,1.660000,0.995000,Sadness
903,left unchecked lives achieve happy,0.036562,0.008438,0.008672,0.009141,0.008594,Happiness
904,accelerating sequencing gives major biomedical,0.2,0.2,0.2,0.2,0.2,Neutral
905,evelynn drtpm amp reflect,0.2,0.2,0.2,0.2,0.2,Neutral
906,gathered see plaque commemorating quentin,0.2,0.2,0.2,0.2,0.2,Neutral
907,calling doesnt says recent,0.2,0.2,0.2,0.2,0.2,Neutral
908,fetal,0.2,0.2,0.2,0.2,0.2,Neutral
909,second robobee achieved untethered,0.2,0.2,0.2,0.2,0.2,Neutral
910,wrote harvard answer,1.912500,2.145000,2.125000,2.162500,2.222500,Disgust
911,plaza shady spend,0.2,0.2,0.2,0.2,0.2,Neutral
912,discuss pivotal,0.2,0.2,0.2,0.2,0.2,Neutral
913,prescribed instead ibuprofen biological wy,0.2,0.2,0.2,0.2,0.2,Neutral
914,first announced hubweeks,0.2,0.2,0.2,0.2,0.2,Neutral
915,harvard developed vastly accelerate sequencing,0.2,0.2,0.2,0.2,0.2,Neutral
916,discuss,0.2,0.2,0.2,0.2,0.2,Neutral
917,traveled native legendary literary,0.482500,0.152500,0.228750,0.161250,0.141250,Happiness
918,recent nick competing read,0.2,0.2,0.2,0.2,0.2,Neutral
919,inaugural raised made annual,0.2,0.2,0.2,0.2,0.2,Neutral
920,coming israel attended culinary,0.2,0.2,0.2,0.2,0.2,Neutral
921,harvard medical importance fetal,0.2,0.2,0.2,0.2,0.2,Neutral
922,achieve untethered latest underwent several important including,0.2,0.2,0.2,0.2,0.2,Neutral
923,trying understand human live,0.2,0.2,0.2,0.2,0.2,Neutral
924,helen born graduated radcliffe became f,0.2,0.2,0.2,0.2,0.2,Neutral
925,dennis norman native american taught,0.2,0.2,0.2,0.2,0.2,Neutral
926,new finds civic engagement helped get,0.2,0.2,0.2,0.2,0.2,Neutral
927,collaborative harvardmed identified performanceenhancing,0.2,0.2,0.2,0.2,0.2,Neutral
928,studying,0.2,0.2,0.2,0.2,0.2,Neutral
929,lift become lightest ever achieve sustained untethered,0.2,0.2,0.2,0.2,0.2,Neutral
930,new prescription reducing urban,0.2,0.2,0.2,0.2,0.2,Neutral
931,new rise biological,0.2,0.2,0.2,0.2,0.2,Neutral
932,says lies,0.555000,1.910000,1.305000,1.610000,1.645000,Anger
933,headed arnoldarboretum shoot new promotional,0.2,0.2,0.2,0.2,0.2,Neutral
934,celebrated,0.2,0.2,0.2,0.2,0.2,Neutral
935,open enhance athletic,0.2,0.2,0.2,0.2,0.2,Neutral
936,native american end,0.2,0.2,0.2,0.2,0.2,Neutral
937,growing suggests traditional paradoxically promote new,0.2,0.2,0.2,0.2,0.2,Neutral
938,nfl face elevated compared finds new chanharvardmed,0.048750,0.028750,0.029063,0.031250,0.027187,Happiness
939,new developed help study treat,1.007500,0.272500,0.277500,0.277500,0.262500,Happiness
940,says many assess anecdotes rather,0.2,0.2,0.2,0.2,0.2,Neutral
941,look pufferfish potential alternative,0.2,0.2,0.2,0.2,0.2,Neutral
942,meant help live longer healthier spend,0.2,0.2,0.2,0.2,0.2,Neutral
943,setting perfect promotional,0.2,0.2,0.2,0.2,0.2,Neutral
944,teaching detroit led kyle new goalreviving americas,0.2,0.2,0.2,0.2,0.2,Neutral
945,coding used teach code engaging intuitive,0.2,0.2,0.2,0.2,0.2,Neutral
946,chew lead hazardous,0.2,0.2,0.2,0.2,0.2,Neutral
947,is sick,0.570000,1.085000,1.290000,1.445000,1.215000,Sadness
948,new performed,0.2,0.2,0.2,0.2,0.2,Neutral
949,bloodbrain barrier,0.2,0.2,0.2,0.2,0.2,Neutral
950,nick,0.2,0.2,0.2,0.2,0.2,Neutral
951,stand comic coached helping finesse,0.2,0.2,0.2,0.2,0.2,Neutral
952,fresh performed sunday,0.2,0.2,0.2,0.2,0.2,Neutral
953,lower blood intake fat co,0.177500,0.335000,0.355000,0.397500,0.443750,Disgust
954,make healthy,0.2,0.2,0.2,0.2,0.2,Neutral
955,new help study treat diseases,0.503750,0.136250,0.138750,0.138750,0.131250,Happiness
956,recently spoke privileged poor,0.2,0.2,0.2,0.2,0.2,Neutral
957,spend make outside,0.2,0.2,0.2,0.2,0.2,Neutral
958,happy,0.018281,0.004219,0.004336,0.004570,0.004297,Happiness
959,new describes microbiome interfere intended,0.2,0.2,0.2,0.2,0.2,Neutral
960,help make healthier live,0.2,0.2,0.2,0.2,0.2,Neutral
961,acquired inc educational got start,0.2,0.2,0.2,0.2,0.2,Neutral
962,recent created competing,0.2,0.2,0.2,0.2,0.2,Neutral
963,according new led worldwide lower blood,0.2,0.2,0.2,0.2,0.2,Neutral
964,new effectiveness many workplace harassment finds better,0.2,0.2,0.2,0.2,0.2,Neutral
965,new shows gut chew medicationswith often hazardous,0.2,0.2,0.2,0.2,0.2,Neutral
966,fresh pride coming june s,1.930000,0.800000,0.655000,0.710000,0.715000,Happiness
967,standup coached stand comic,0.2,0.2,0.2,0.2,0.2,Neutral
968,recent nick competing,0.2,0.2,0.2,0.2,0.2,Neutral
969,high fat greater developing advanced,0.088750,0.167500,0.177500,0.198750,0.221875,Disgust
970,local selected receive,0.2,0.2,0.2,0.2,0.2,Neutral
971,always look,0.2,0.2,0.2,0.2,0.2,Neutral
972,new creatures other professor,0.2,0.2,0.2,0.2,0.2,Neutral
973,shows increasing red linked higher,0.001118,0.001147,0.000947,0.000688,0.000645,Anger
974,medal dolores,0.2,0.2,0.2,0.2,0.2,Neutral
975,new mental early,0.2,0.2,0.2,0.2,0.2,Neutral
976,making harvard achieved landmark total,0.2,0.2,0.2,0.2,0.2,Neutral
977,new cross focus latinx asian american,0.2,0.2,0.2,0.2,0.2,Neutral
978,found electronic reduce inperson specialist,0.2,0.2,0.2,0.2,0.2,Neutral
979,did know free,0.017031,0.004492,0.005195,0.004492,0.004258,Happiness
980,new pride coming,0.965000,0.400000,0.327500,0.355000,0.357500,Happiness
981,were celebrating fathersday,0.2,0.2,0.2,0.2,0.2,Neutral
982,collaborating sharing make available,0.2,0.2,0.2,0.2,0.2,Neutral
983,scheffer,0.2,0.2,0.2,0.2,0.2,Neutral
984,declared eliminated disease,0.2,0.2,0.2,0.2,0.2,Neutral
985,increasing red especially processed linked higher,0.000559,0.000574,0.000474,0.000344,0.000322,Anger
986,highly effective found difficult especially pat,0.2,0.2,0.2,0.2,0.2,Neutral
987,loves dna quest read able,0.2,0.2,0.2,0.2,0.2,Neutral
988,coming shakespeare project louis,0.2,0.2,0.2,0.2,0.2,Neutral
989,thawing alaskan releasing nitrous oxide previously,0.2,0.2,0.2,0.2,0.2,Neutral
990,renowned haworth selected future,0.2,0.2,0.2,0.2,0.2,Neutral
991,feldstein taught harvard,0.2,0.2,0.2,0.2,0.2,Neutral
992,teamed learn,0.000027,0.000013,0.000013,0.000012,0.000008,Happiness
993,celebrated,0.2,0.2,0.2,0.2,0.2,Neutral
994,march firstyear learned,0.000013,0.000006,0.000006,0.000006,0.000004,Happiness
995,february joined hasty first,0.2,0.2,0.2,0.2,0.2,Neutral
996,th defeated yale,0.590000,1.695000,1.190000,1.605000,0.955000,Anger
997,larry bacow inaugurated,0.2,0.2,0.2,0.2,0.2,Neutral
998,redesigned smith officially opened,0.2,0.2,0.2,0.2,0.2,Neutral
999,busy best academic,0.2,0.2,0.2,0.2,0.2,Neutral
1000,shows buprenorphine highly effective difficult,0.2,0.2,0.2,0.2,0.2,Neutral
1001,new increasing red especially processed link,0.000280,0.000287,0.000237,0.000172,0.000161,Anger
1002,stories,0.2,0.2,0.2,0.2,0.2,Neutral
1003,new found cruciferous help,0.2,0.2,0.2,0.2,0.2,Neutral
1004,volunteering noemi provide accessible underprivileged,0.2,0.2,0.2,0.2,0.2,Neutral
1005,sharing making avail,0.2,0.2,0.2,0.2,0.2,Neutral
1006,new,0.2,0.2,0.2,0.2,0.2,Neutral
1007,did know widener library,0.2,0.2,0.2,0.2,0.2,Neutral
1008,declared eliminated earlier centers,0.2,0.2,0.2,0.2,0.2,Neutral
1009,memorial,0.2,0.2,0.2,0.2,0.2,Neutral
1010,digital look colonial united,0.960000,0.640000,0.620000,0.635000,0.590000,Happiness
1011,disputes potential,0.2,0.2,0.2,0.2,0.2,Neutral
1012,just oftenrecommended older,0.2,0.2,0.2,0.2,0.2,Neutral
1013,crack discuss likely forward,0.2,0.2,0.2,0.2,0.2,Neutral
1014,remy lives nearly mile visit,0.2,0.2,0.2,0.2,0.2,Neutral
1015,lower blood intake fat diet,0.044375,0.083750,0.088750,0.099375,0.110937,Disgust
1016,molecular allow preserved,0.2,0.2,0.2,0.2,0.2,Neutral
1017,tell tale economic social,0.000896,0.000300,0.000405,0.000317,0.000264,Happiness
1018,nitrousoxide thawing alaskan higher previously assumed,0.2,0.2,0.2,0.2,0.2,Neutral
1019,new consistently grows developing human cerebral,0.2,0.2,0.2,0.2,0.2,Neutral
1020,national anthem recently graduated senior,0.2,0.2,0.2,0.2,0.2,Neutral
1021,amp celebrating free,0.008516,0.002246,0.002598,0.002246,0.002129,Happiness
1022,womens soccer teams watch,0.031250,0.019531,0.022187,0.021562,0.020156,Happiness
1023,phones fresh cost say,0.2,0.2,0.2,0.2,0.2,Neutral
1024,enabled,0.2,0.2,0.2,0.2,0.2,Neutral
1025,new work contemporary james marshall alongside,0.2,0.2,0.2,0.2,0.2,Neutral
1026,change study neuropsychiatric test,0.2,0.2,0.2,0.2,0.2,Neutral
1027,collaborating sharing making availa,0.2,0.2,0.2,0.2,0.2,Neutral
1028,study artificial biology,0.2,0.2,0.2,0.2,0.2,Neutral
1029,warming arctic releasing nitrous oxide previously thought,0.705000,0.480000,0.492500,0.497500,0.430000,Happiness
1030,digital peek colonial,0.2,0.2,0.2,0.2,0.2,Neutral
1031,new hackable uses written according,0.2,0.2,0.2,0.2,0.2,Neutral
1032,happy,0.009141,0.002109,0.002168,0.002285,0.002148,Happiness
1033,made major human d,0.2,0.2,0.2,0.2,0.2,Neutral
1034,harvard library build,0.2,0.2,0.2,0.2,0.2,Neutral
1035,hemisphere covered thawing increasing,0.2,0.2,0.2,0.2,0.2,Neutral
1036,womens soccer teams watch upcoming,0.015625,0.009766,0.011094,0.010781,0.010078,Happiness
1037,harvard,0.2,0.2,0.2,0.2,0.2,Neutral
1038,internal physician discusses recent,0.2,0.2,0.2,0.2,0.2,Neutral
1039,happy blackbird smith looking,0.004570,0.001055,0.001084,0.001143,0.001074,Happiness
1040,recent show inflammatory disrupts,0.2,0.2,0.2,0.2,0.2,Neutral
1041,straus professional also undergraduate,0.2,0.2,0.2,0.2,0.2,Neutral
1042,new demonstrated geneediting delivered straight live,0.2,0.2,0.2,0.2,0.2,Neutral
1043,choose eat cultural political harvard,0.468750,0.210000,0.213750,0.218750,0.215000,Happiness
1044,take roundup biggest academic,0.2,0.2,0.2,0.2,0.2,Neutral
1045,buprenorphine highly effective evidencebased difficult,0.2,0.2,0.2,0.2,0.2,Neutral
1046,step open embrace new possible said german,0.2,0.2,0.2,0.2,0.2,Neutral
1047,dietary weight building associated nearly risk,0.835000,0.620000,0.700000,0.595000,0.625000,Happiness
1048,just older study says,0.2,0.2,0.2,0.2,0.2,Neutral
1049,running harvard,0.2,0.2,0.2,0.2,0.2,Neutral
1050,happy wyss taking inspiration,0.002285,0.000527,0.000542,0.000571,0.000537,Happiness
1051,major biotechnology genetic,0.2,0.2,0.2,0.2,0.2,Neutral
1052,talk,0.2,0.2,0.2,0.2,0.2,Neutral
1053,keep activated early gamechanger,0.2,0.2,0.2,0.2,0.2,Neutral
1054,new suggests offers mortalitylowering oftenrecommended,0.2,0.2,0.2,0.2,0.2,Neutral
1055,phd succeed margaret alumni,0.2,0.2,0.2,0.2,0.2,Neutral
1056,associated substantial opioid overdose greater,0.2,0.2,0.2,0.2,0.2,Neutral
1057,harvard exploring cancerfighting,0.2,0.2,0.2,0.2,0.2,Neutral
1058,new academic including workshops,0.2,0.2,0.2,0.2,0.2,Neutral
1059,wiggins concentrator kirkland resident new,0.2,0.2,0.2,0.2,0.2,Neutral
1060,celebrating nonprofit awareness harvard proud fell,1.590000,0.775000,0.790000,0.645000,0.630000,Happiness
1061,making official,0.2,0.2,0.2,0.2,0.2,Neutral
1062,shining th,0.2,0.2,0.2,0.2,0.2,Neutral
1063,huerta received,0.2,0.2,0.2,0.2,0.2,Neutral
1064,new reveal inflammatory disrupts,0.2,0.2,0.2,0.2,0.2,Neutral
1065,yard magnetic happy take look harvard,0.001143,0.000264,0.000271,0.000286,0.000269,Happiness
1066,commencement awarded total,0.2,0.2,0.2,0.2,0.2,Neutral
1067,commissioning undergrads received military,0.2,0.2,0.2,0.2,0.2,Neutral
1068,mary salcedo postdoctoral combine,0.2,0.2,0.2,0.2,0.2,Neutral
1069,consulted americanreps new musical live working,0.532500,0.203750,0.165000,0.223750,0.152500,Happiness
1070,german former al gore inspiring,0.2,0.2,0.2,0.2,0.2,Neutral
1071,launched podcast fellow senior highlight south asian,0.2,0.2,0.2,0.2,0.2,Neutral
1072,th commencement,0.2,0.2,0.2,0.2,0.2,Neutral
1073,losartan extends survival pancreatic,0.2,0.2,0.2,0.2,0.2,Neutral
1074,woodmansee graduated joint integrative social,0.000448,0.000150,0.000203,0.000159,0.000132,Happiness
1075,finished senior turning pro,0.2,0.2,0.2,0.2,0.2,Neutral
1076,commencement german urged embrace new,0.2,0.2,0.2,0.2,0.2,Neutral
1077,santiago like put public,0.2,0.2,0.2,0.2,0.2,Neutral
1078,so many proud friends,1.530000,0.533750,0.525000,0.533750,0.440000,Happiness
1079,listen inspiring th,0.2,0.2,0.2,0.2,0.2,Neutral
1080,busy take biggest academic,0.2,0.2,0.2,0.2,0.2,Neutral
1081,dean speaking live,0.2,0.2,0.2,0.2,0.2,Neutral
1082,step open embrace new possible said german,0.2,0.2,0.2,0.2,0.2,Neutral
1083,th,0.2,0.2,0.2,0.2,0.2,Neutral
1084,commencement german gave principal,0.2,0.2,0.2,0.2,0.2,Neutral
1085,former new bloomberg urged ethical,0.2,0.2,0.2,0.2,0.2,Neutral
1086,german received honorary,0.2,0.2,0.2,0.2,0.2,Neutral
1087,honorary include angela drew faust,0.2,0.2,0.2,0.2,0.2,Neutral
1088,awarded total,0.2,0.2,0.2,0.2,0.2,Neutral
1089,neighboring ring,0.2,0.2,0.2,0.2,0.2,Neutral
1090,latonya wright played harvard consecutive,0.2,0.2,0.2,0.2,0.2,Neutral
1091,honorary strathern iii ingrid william,0.2,0.2,0.2,0.2,0.2,Neutral
1092,german,0.2,0.2,0.2,0.2,0.2,Neutral
1093,kabir gandhi santos traditional latin english,0.2,0.2,0.2,0.2,0.2,Neutral
1094,germany speak principal,0.2,0.2,0.2,0.2,0.2,Neutral
1095,commencement yan molecular,0.2,0.2,0.2,0.2,0.2,Neutral
1096,created first creative,0.2,0.2,0.2,0.2,0.2,Neutral
1097,often say commencement always beautiful sometimes happen nice,1.631250,0.430000,0.448750,0.455000,0.427500,Happiness
1098,addressing graduating former warned,0.2,0.2,0.2,0.2,0.2,Neutral
1099,harvard received military rotc commissioning,0.2,0.2,0.2,0.2,0.2,Neutral
1100,centennial presented distinguished made fundamental,1.012500,0.315000,0.340000,0.337500,0.280000,Happiness
1101,nod ringing fill th,0.2,0.2,0.2,0.2,0.2,Neutral
1102,commissioning took,0.2,0.2,0.2,0.2,0.2,Neutral
1103,ago,0.2,0.2,0.2,0.2,0.2,Neutral
1104,speaks,0.2,0.2,0.2,0.2,0.2,Neutral
1105,former graduating,0.2,0.2,0.2,0.2,0.2,Neutral
1106,commencement link,0.2,0.2,0.2,0.2,0.2,Neutral
1107,guys,0.2,0.2,0.2,0.2,0.2,Neutral
1108,calm,0.2,0.2,0.2,0.2,0.2,Neutral
1109,commencement detroit going new,0.2,0.2,0.2,0.2,0.2,Neutral
1110,know german,0.2,0.2,0.2,0.2,0.2,Neutral
1111,important live planned told,0.2,0.2,0.2,0.2,0.2,Neutral
1112,inspired uganda physician improve global,0.031289,0.009648,0.010586,0.009492,0.008398,Happiness
1113,originally seemed uncertain wile says embraced,0.2,0.2,0.2,0.2,0.2,Neutral
1114,searching firing real now harvard,0.345000,0.632500,0.882500,0.735000,0.460000,Fear
1115,major pursued phd ingrained,0.2,0.2,0.2,0.2,0.2,Neutral
1116,graduating inducted phi honored exceptional academic duri,0.129688,0.040625,0.041875,0.041875,0.040000,Happiness
1117,undergraduate took,0.2,0.2,0.2,0.2,0.2,Neutral
1118,see harvard magical quiet,1.251250,0.462500,0.575000,0.557500,0.426250,Happiness
1119,kabir gandhi santos experiences,0.2,0.2,0.2,0.2,0.2,Neutral
1120,literary took theatre,0.2,0.2,0.2,0.2,0.2,Neutral
1121,harvard medical harvardmed,0.2,0.2,0.2,0.2,0.2,Neutral
1122,commencement away get glimpse ago,0.2,0.2,0.2,0.2,0.2,Neutral
1123,truman admitted,0.2,0.2,0.2,0.2,0.2,Neutral
1124,concentrating future roux become talented,0.995000,0.295000,0.337500,0.307500,0.280000,Happiness
1125,larry bacow looks back first,0.2,0.2,0.2,0.2,0.2,Neutral
1126,uses endowed neuroscience,0.2,0.2,0.2,0.2,0.2,Neutral
1127,reaches human earliest smallbrained,0.2,0.2,0.2,0.2,0.2,Neutral
1128,honor military served presently serving,0.285547,0.088906,0.095469,0.094844,0.080000,Happiness
1129,graduating nima also celebrates release new,0.2,0.2,0.2,0.2,0.2,Neutral
1130,desisto spent tropical studying invasive,0.2,0.2,0.2,0.2,0.2,Neutral
1131,former graduating,0.2,0.2,0.2,0.2,0.2,Neutral
1132,deans michelle claudine gay long discuss,0.2,0.2,0.2,0.2,0.2,Neutral
1133,evolve limbs found clear help solve,0.2,0.2,0.2,0.2,0.2,Neutral
1134,merkel give thursday harvard german,0.2,0.2,0.2,0.2,0.2,Neutral
1135,received additional financial,0.2,0.2,0.2,0.2,0.2,Neutral
1136,new found broccoli cruciferous help,0.2,0.2,0.2,0.2,0.2,Neutral
1137,straus dual pro,0.2,0.2,0.2,0.2,0.2,Neutral
1138,awarded study,0.2,0.2,0.2,0.2,0.2,Neutral
1139,harvard focused reforming criminal,0.515000,1.660000,1.775000,1.380000,1.525000,Fear
1140,named confused even,0.292519,0.580011,0.525010,0.570011,0.357510,Anger
1141,wants work make inclusive,0.2,0.2,0.2,0.2,0.2,Neutral
1142,pursuing served,0.2,0.2,0.2,0.2,0.2,Neutral
1143,were getting ready,0.2,0.2,0.2,0.2,0.2,Neutral
1144,undergraduate write,0.2,0.2,0.2,0.2,0.2,Neutral
1145,mahomed graduate spent last focused mental,0.530000,0.141250,0.271250,0.225000,0.138750,Happiness
1146,new harvard varian saved jewish,0.220625,0.076875,0.092500,0.083125,0.064375,Happiness
1147,used endowed professorship fellowship,0.2,0.2,0.2,0.2,0.2,Neutral
1148,fourlimbed arose lived big,0.2,0.2,0.2,0.2,0.2,Neutral
1149,straus professional also finished first,0.2,0.2,0.2,0.2,0.2,Neutral
1150,wrong united united says rich continue,0.240000,0.160000,0.155000,0.158750,0.147500,Happiness
1151,son using historical,0.2,0.2,0.2,0.2,0.2,Neutral
1152,away,0.2,0.2,0.2,0.2,0.2,Neutral
1153,devoted dissecting criminal,1.041250,0.695000,0.781250,0.662500,0.646250,Happiness
1154,loves tercentenary especially like,0.2,0.2,0.2,0.2,0.2,Neutral
1155,loves woodberry library settle,0.2,0.2,0.2,0.2,0.2,Neutral
1156,loves sunken doing sunny makes feel,0.2,0.2,0.2,0.2,0.2,Neutral
1157,kathy lab light beautiful love,0.563750,0.152500,0.163750,0.165000,0.147500,Happiness
1158,harvard loves annenberg hall full eclectic,0.2,0.2,0.2,0.2,0.2,Neutral
1159,bacow says campus wertheim,0.2,0.2,0.2,0.2,0.2,Neutral
1160,favorite,0.2,0.2,0.2,0.2,0.2,Neutral
1161,undergraduate submit prior graduating,0.2,0.2,0.2,0.2,0.2,Neutral
1162,former wrote novel varian helped save jewish,0.110312,0.038437,0.046250,0.041563,0.032188,Happiness
1163,recently named pickering looking forward building new,0.208760,0.155006,0.175005,0.148755,0.156255,Happiness
1164,th annual summit focused,0.2,0.2,0.2,0.2,0.2,Neutral
1165,upcoming hmscountway include caf destress,0.2,0.2,0.2,0.2,0.2,Neutral
1166,degree compares,0.2,0.2,0.2,0.2,0.2,Neutral
1167,recently inspiring harvardgsd,0.2,0.2,0.2,0.2,0.2,Neutral
1168,visit next take,0.2,0.2,0.2,0.2,0.2,Neutral
1169,found clear help solve became limbs ago,0.2,0.2,0.2,0.2,0.2,Neutral
1170,getting good sleep important including,1.076816,0.306143,0.328682,0.373613,0.296104,Happiness
1171,pickering executive amp,0.2,0.2,0.2,0.2,0.2,Neutral
1172,aric find musical preach,0.266250,0.101875,0.082500,0.111875,0.076250,Happiness
1173,michelle claudine gay long got together discuss,0.2,0.2,0.2,0.2,0.2,Neutral
1174,senior senior included dodgeball,0.2,0.2,0.2,0.2,0.2,Neutral
1175,senior bobok spent conducting participant,0.2,0.2,0.2,0.2,0.2,Neutral
1176,new toll growing poor,0.2,0.2,0.2,0.2,0.2,Neutral
1177,half undergraduate precursor graduating submitting,0.2,0.2,0.2,0.2,0.2,Neutral
1178,phd succeed margaret,0.2,0.2,0.2,0.2,0.2,Neutral
1179,live cairo egyptian,0.2,0.2,0.2,0.2,0.2,Neutral
1180,exploring cancerfighting,0.2,0.2,0.2,0.2,0.2,Neutral
1181,social special,0.000224,0.000075,0.000101,0.000079,0.000066,Happiness
1182,pursuing nicole worked served,0.2,0.2,0.2,0.2,0.2,Neutral
1183,senior,0.2,0.2,0.2,0.2,0.2,Neutral
1184,thesis african american,0.2,0.2,0.2,0.2,0.2,Neutral
1185,ive always interested never dreamed hav,0.912500,1.907500,1.776250,1.783750,1.952500,Disgust
1186,answer kiwis,0.956250,1.072500,1.062500,1.081250,1.111250,Disgust
1187,studying social,0.000112,0.000038,0.000051,0.000040,0.000033,Happiness
1188,catherine graduating first discovered,0.2,0.2,0.2,0.2,0.2,Neutral
1189,linked found cruciferous,0.2,0.2,0.2,0.2,0.2,Neutral
1190,young experiences,0.003633,0.001650,0.001826,0.001719,0.001289,Happiness
1191,samimi celebrate new degree middle,0.2,0.2,0.2,0.2,0.2,Neutral
1192,harvard join allston spring annual love,2.185000,0.590000,0.590000,0.615000,0.605000,Happiness
1193,new linked found broccoli cruciferous,0.2,0.2,0.2,0.2,0.2,Neutral
1194,ems studentrun medical provides emt,0.2,0.2,0.2,0.2,0.2,Neutral
1195,harvard used zebrafish different,0.2,0.2,0.2,0.2,0.2,Neutral
1196,harvard came together discuss,0.2,0.2,0.2,0.2,0.2,Neutral
1197,worlds largest remapped,1.465000,0.800000,0.880000,0.915000,0.770000,Happiness
1198,high recruited,0.2,0.2,0.2,0.2,0.2,Neutral
1199,digital take virtual,0.2,0.2,0.2,0.2,0.2,Neutral
1200,first confused theres want confused,0.146250,0.290000,0.262500,0.285000,0.178750,Anger
1201,combining rare nasa artifacts new celebrates th anniversary,0.2,0.2,0.2,0.2,0.2,Neutral
1202,wants serve rural limited,0.2,0.2,0.2,0.2,0.2,Neutral
1203,researcher pier paolo exploring cancerfighting,0.2,0.2,0.2,0.2,0.2,Neutral
1204,springtime,0.2,0.2,0.2,0.2,0.2,Neutral
1205,help india better concludes harvard,0.2,0.2,0.2,0.2,0.2,Neutral
1206,marking th anniversary includes nasa,0.2,0.2,0.2,0.2,0.2,Neutral
1207,america new social based harvard cofounded,0.000056,0.000019,0.000025,0.000020,0.000016,Happiness
1208,compound known play common human,0.2,0.2,0.2,0.2,0.2,Neutral
1209,honoring helped flee nazi recently reinstalled,0.032422,0.010156,0.010469,0.010469,0.010000,Happiness
1210,much pay masterpiece harvard reflect fine,0.2,0.2,0.2,0.2,0.2,Neutral
1211,perfect sunny,0.2,0.2,0.2,0.2,0.2,Neutral
1212,digital allows virtually walk archaeological examine,0.2,0.2,0.2,0.2,0.2,Neutral
1213,invites harvard speak insight,0.2,0.2,0.2,0.2,0.2,Neutral
1214,womens squash collected,0.2,0.2,0.2,0.2,0.2,Neutral
